订单编码,订单日期,客户编码,所在区域,所在省份,所在地市,商品编号,订购数量,订购单价,金额
D31681,2019-04-27,S16709,南区,福建,泉州市,X047,1184.0,192.0,227328.0
D34025,2019-08-17,S12638,南区,福建,漳州市,X030,1676.0,237.0,397212.0
D29929,2019-08-04,S20629,西区,云南,大理白族自治州,X035,1034.0,76.0,78584.0
D28627,2019-09-08,S23144,东区,安徽,阜阳市,X015,107.0,151.0,16157.0
D29154,2019-05-31,S14453,东区,江苏,无锡市,X067,1765.0,212.0,374180.0
D25886,2019-07-19,S18979,东区,浙江,宁波市,X034,718.0,182.0,130676.0
D24046,2019-05-20,S16650,西区,四川,达州市,X034,23.0,182.0,4186.0
D26323,2019-04-18,S15489,南区,广东,江门市,X001,877.0,121.0,106117.0
D32667,2019-09-13,S22814,东区,浙江,杭州市,X029,652.0,154.0,100408.0
D23059,2019-07-13,S19793,东区,江苏,徐州市,X055,412.0,222.0,91464.0
D27665,2019-05-17,S14630,东区,江苏,无锡市,X024,768.0,235.0,180480.0
D24521,2019-06-06,S17476,东区,湖北,武汉市,X017,2199.0,213.0,468387.0
D31060,2019-04-16,S19039,南区,江西,鹰潭市,X088,999.0,125.0,124875.0
D24130,2019-04-28,S18429,北区,山西,长治市,X054,73.0,83.0,6059.0
D32607,2019-05-25,S17559,南区,广东,深圳市,X059,727.0,56.0,40712.0
D24373,2019-02-23,S12572,南区,广东,深圳市,X023,887.0,235.0,208445.0
D32437,2019-06-28,S22744,东区,江苏,常州市,X101,1388.0,173.0,240124.0
D21587,2019-08-19,S20933,东区,江苏,宿迁市,X050,37.0,143.0,5291.0
D27713,2019-08-04,S13664,南区,福建,莆田市,X057,611.0,245.0,149695.0
D21776,2019-09-16,S17675,东区,江苏,苏州市,X011,258.0,226.0,58308.0
D28736,2019-02-17,S20995,南区,广西,梧州市,X009,1572.0,92.0,144624.0
D31892,2019-05-03,S17072,东区,江苏,苏州市,X062,333.0,239.0,79587.0
D25979,2019-09-19,S10976,南区,湖南,长沙市,X024,356.0,235.0,83660.0
D24871,2019-07-29,S17133,东区,江苏,宿迁市,X094,1252.0,94.0,117688.0
D28529,2019-06-30,S15638,西区,甘肃,陇南市,X009,1162.0,92.0,106904.0
D25418,2019-08-04,S17261,北区,辽宁,辽阳市,X108,1333.0,223.0,297259.0
D29294,2019-02-08,S13839,东区,江苏,常州市,X045,1475.0,205.0,302375.0
D23640,2019-09-24,S11506,南区,广东,珠海市,X060,1287.0,102.0,131274.0
D29554,2019-05-20,S19533,东区,湖北,荆门市,X077,1389.0,247.0,343083.0
D25010,2019-04-11,S12220,东区,湖北,荆门市,X062,1066.0,239.0,254774.0
D31908,2019-05-04,S15361,南区,福建,泉州市,X080,1649.0,72.0,118728.0
D22638,2019-09-04,S17873,南区,湖南,怀化市,X022,592.0,158.0,93536.0
D33328,2019-08-04,S14744,东区,浙江,温州市,X065,725.0,140.0,101500.0
D21097,2019-01-21,S15410,东区,湖北,鄂州市,X030,839.0,237.0,198843.0
D24681,2019-06-15,S21696,西区,四川,成都市,X070,100.0,242.0,24200.0
D24110,2019-07-25,S19641,北区,河北,衡水市,X038,1604.0,102.0,163608.0
D22760,2019-07-09,S15014,西区,重庆市,重庆市,X024,1047.0,235.0,246045.0
D21467,2019-05-25,S22445,南区,湖南,邵阳市,X046,1008.0,241.0,242928.0
D27932,2019-06-22,S17150,南区,江西,景德镇市,X062,411.0,239.0,98229.0
D27403,2019-06-04,S10966,南区,湖南,长沙市,X054,1154.0,83.0,95782.0
D27698,2019-02-26,S22032,东区,江苏,苏州市,X068,81.0,225.0,18225.0
D30118,2019-09-28,S10011,北区,山东,潍坊市,X003,598.0,168.0,100464.0
D24339,2019-08-09,S21324,东区,江苏,泰州市,X068,1154.0,225.0,259650.0
D30826,2019-05-13,S22004,南区,福建,宁德市,X051,607.0,203.0,123221.0
D30595,2019-08-04,S20141,南区,湖南,长沙市,X039,728.0,108.0,78624.0
D24135,2019-04-03,S14444,北区,河北,廊坊市,X041,546.0,212.0,115752.0
D25464,2019-07-12,S19705,东区,江苏,泰州市,X039,119.0,108.0,12852.0
D30706,2019-08-04,S10596,北区,北京市,北京市,X017,620.0,213.0,132060.0
D28752,2019-09-20,S20464,西区,四川,南充市,X080,983.0,72.0,70776.0
D27188,2019-08-01,S15320,南区,湖南,永州市,X068,1990.0,225.0,447750.0
D23949,2019-08-05,S14563,西区,四川,乐山市,X035,522.0,76.0,39672.0
D30167,2019-05-13,S14231,北区,辽宁,大连市,X059,22.0,56.0,1232.0
D25066,2019-01-22,S23207,南区,海南,海口市,X039,1514.0,108.0,163512.0
D31435,2019-08-04,S19344,北区,内蒙古,包头市,X025,1437.0,102.0,146574.0
D23003,2019-08-04,S16286,东区,江苏,南通市,X034,1390.0,182.0,252980.0
D21753,2019-08-03,S16639,北区,河南,郑州市,X038,1133.0,102.0,115566.0
D26580,2019-08-02,S18884,西区,甘肃,兰州市,X055,781.0,222.0,173382.0
D31648,2019-07-02,S10902,北区,吉林,延边朝鲜族自治州,X011,107.0,226.0,24182.0
D24622,2019-02-01,S22744,东区,江苏,常州市,X070,566.0,242.0,136972.0
D22978,2019-07-03,S22562,南区,广东,汕头市,X034,89.0,182.0,16198.0
D24927,2019-09-21,S13234,东区,安徽,铜陵市,X036,1239.0,99.0,122661.0
D28355,2019-02-20,S15320,南区,湖南,永州市,X026,231.0,101.0,23331.0
D29395,2019-05-08,S17841,北区,北京市,北京市,X003,1077.0,168.0,180936.0
D25383,2019-01-12,S20363,西区,重庆市,重庆市,X054,1395.0,83.0,115785.0
D25830,2019-08-06,S16825,南区,广东,广州市,X070,722.0,242.0,174724.0
D33181,2019-04-21,S12220,东区,湖北,荆门市,X047,2522.0,192.0,484224.0
D27736,2019-08-05,S22618,南区,广东,江门市,X062,761.0,239.0,181879.0
D25527,2019-05-13,S14926,北区,辽宁,大连市,X002,660.0,141.0,93060.0
D23666,2019-04-30,S22090,北区,山东,潍坊市,X007,1030.0,213.0,219390.0
D31922,2019-07-17,S13235,南区,湖南,常德市,X089,818.0,104.0,85072.0
D25344,2019-06-29,S15910,北区,河南,三门峡市,X015,1366.0,151.0,206266.0
D30483,2019-09-26,S22793,南区,广东,深圳市,X098,1684.0,56.0,94304.0
D22555,2019-07-06,S14892,西区,四川,广安市,X071,723.0,253.0,182919.0
D31054,2019-05-28,S11832,北区,山东,济南市,X016,1384.0,99.0,137016.0
D33492,2019-09-19,S21685,南区,广西,柳州市,X025,1152.0,102.0,117504.0
D21351,2019-09-25,S21246,南区,广西,南宁市,X078,1302.0,116.0,151032.0
D23989,2019-08-04,S17936,西区,陕西,宝鸡市,X074,90.0,87.0,7830.0
D24663,2019-07-09,S17955,东区,江苏,扬州市,X011,1632.0,226.0,368832.0
D31288,2019-08-04,S15275,北区,河北,张家口市,X016,1162.0,99.0,115038.0
D22310,2019-07-20,S22702,西区,重庆市,重庆市,X091,955.0,214.0,204370.0
D27132,2019-06-13,S10961,南区,广东,深圳市,X025,1024.0,102.0,104448.0
D22441,2019-05-06,S15014,西区,重庆市,重庆市,X064,849.0,150.0,127350.0
D31546,2019-06-21,S13492,北区,北京市,北京市,X010,958.0,58.0,55564.0
D27442,2019-02-20,S15707,南区,江西,九江市,X005,1101.0,185.0,203685.0
D30438,2019-04-15,S15200,北区,山东,威海市,X049,1499.0,226.0,338774.0
D26032,2019-07-15,S19460,东区,上海市,上海市,X061,642.0,203.0,130326.0
D27036,2019-09-08,S15632,南区,湖南,长沙市,X090,1156.0,197.0,227732.0
D22872,2019-06-29,S17751,北区,河南,许昌市,X067,748.0,212.0,158576.0
D29009,2019-01-21,S12103,东区,江苏,扬州市,X014,828.0,86.0,71208.0
D24650,2019-09-19,S22399,南区,湖南,长沙市,X019,1397.0,210.0,293370.0
D21582,2019-01-07,S13119,东区,江苏,苏州市,X065,1114.0,140.0,155960.0
D26262,2019-08-15,S20995,南区,广西,梧州市,X067,971.0,212.0,205852.0
D29562,2019-05-18,S11543,西区,贵州,贵阳市,X003,787.0,168.0,132216.0
D33756,2019-07-08,S16943,北区,吉林,长春市,X021,123.0,59.0,7257.0
D25358,2019-07-30,S10110,东区,江苏,镇江市,X079,862.0,128.0,110336.0
D24026,2019-09-25,S19794,东区,湖北,武汉市,X085,1127.0,233.0,262591.0
D32988,2019-08-04,S18111,东区,上海市,上海市,X004,568.0,211.0,119848.0
D27765,2019-06-20,S14311,北区,山东,滨州市,X017,1281.0,213.0,272853.0
D21442,2019-04-09,S22796,东区,浙江,台州市,X089,646.0,104.0,67184.0
D30886,2019-08-15,S13498,北区,山东,枣庄市,X052,1167.0,102.0,119034.0
D26390,2019-08-26,S14313,北区,河南,漯河市,X040,1783.0,142.0,253186.0
D21571,2019-02-09,S10135,北区,河北,唐山市,X080,1037.0,72.0,74664.0
D30401,2019-01-31,S13780,南区,广东,江门市,X085,1050.0,233.0,244650.0
D25361,2019-08-04,S21976,东区,湖北,襄阳市,X044,1616.0,174.0,281184.0
D26830,2019-05-06,S14376,西区,新疆,哈密地区,X065,659.0,140.0,92260.0
D21690,2019-04-14,S16940,东区,湖北,武汉市,X078,36.0,116.0,4176.0
D27802,2019-08-01,S20946,东区,湖北,武汉市,X068,783.0,225.0,176175.0
D27479,2019-08-04,S19170,西区,新疆,克拉玛依市,X048,1885.0,61.0,114985.0
D31407,2019-08-15,S17046,西区,四川,遂宁市,X030,1827.0,237.0,432999.0
D23664,2019-05-24,S13440,东区,江苏,扬州市,X034,1724.0,182.0,313768.0
D27674,2019-02-11,S14362,东区,江苏,苏州市,X019,1619.0,210.0,339990.0
D28186,2019-08-04,S20442,南区,广东,江门市,X055,1302.0,222.0,289044.0
D25177,2019-07-10,S14517,北区,黑龙江,大庆市,X009,724.0,92.0,66608.0
D31869,2019-05-12,S14231,北区,辽宁,大连市,X068,1133.0,225.0,254925.0
D24033,2019-09-15,S21278,西区,陕西,西安市,X039,1449.0,108.0,156492.0
D21560,2019-01-16,S12110,南区,广东,东莞市,X103,1628.0,202.0,328856.0
D24475,2019-04-03,S23119,南区,江西,南昌市,X071,745.0,253.0,188485.0
D21638,2019-08-31,S16843,东区,湖北,黄冈市,X014,302.0,86.0,25972.0
D28225,2019-08-04,S16650,西区,四川,达州市,X034,2037.0,182.0,370734.0
D24653,2019-05-29,S16592,北区,河南,洛阳市,X025,1553.0,102.0,158406.0
D26373,2019-08-24,S12106,南区,湖南,怀化市,X055,1308.0,222.0,290376.0
D23141,2019-05-01,S22887,南区,江西,九江市,X001,957.0,121.0,115797.0
D27785,2019-05-09,S22753,东区,湖北,荆州市,X048,858.0,61.0,52338.0
D21549,2019-05-16,S19512,北区,北京市,北京市,X017,1771.0,213.0,377223.0
D28900,2019-09-23,S18224,南区,广东,深圳市,X063,1107.0,162.0,179334.0
D30807,2019-07-11,S23045,南区,湖南,永州市,X048,1667.0,61.0,101687.0
D26449,2019-08-04,S14033,东区,浙江,宁波市,X070,769.0,242.0,186098.0
D25176,2019-07-23,S12163,南区,广西,桂林市,X039,789.0,108.0,85212.0
D21579,2019-06-21,S15732,南区,广西,贺州市,X057,357.0,245.0,87465.0
D33041,2019-07-18,S17602,北区,山东,枣庄市,X037,809.0,195.0,157755.0
D21659,2019-07-05,S11334,北区,吉林,四平市,X013,337.0,164.0,55268.0
D23100,2019-06-04,S17946,南区,广东,清远市,X048,1603.0,61.0,97783.0
D23522,2019-06-04,S12871,东区,安徽,安庆市,X035,989.0,76.0,75164.0
D31514,2019-07-13,S16669,东区,上海市,上海市,X030,643.0,237.0,152391.0
D27484,2019-09-30,S10469,东区,安徽,淮南市,X057,1032.0,245.0,252840.0
D27402,2019-04-06,S12763,东区,湖北,襄阳市,X051,1210.0,203.0,245630.0
D23556,2019-04-07,S16243,北区,天津市,天津市,X091,352.0,214.0,75328.0
D33288,2019-01-07,S13492,北区,北京市,北京市,X017,623.0,213.0,132699.0
D24804,2019-09-09,S19375,东区,江苏,苏州市,X080,775.0,72.0,55800.0
D29373,2019-06-20,S10580,东区,安徽,宿州市,X088,784.0,125.0,98000.0
D22189,2019-08-28,S10867,东区,江苏,苏州市,X047,502.0,192.0,96384.0
D28320,2019-01-06,S20141,南区,湖南,长沙市,X031,384.0,86.0,33024.0
D21856,2019-07-12,S17476,东区,湖北,武汉市,X008,1041.0,119.0,123879.0
D21966,2019-09-17,S17476,东区,湖北,武汉市,X042,139.0,159.0,22101.0
D25965,2019-05-21,S21059,东区,江苏,泰州市,X047,462.0,192.0,88704.0
D28309,2019-05-02,S10143,东区,浙江,绍兴市,X064,305.0,150.0,45750.0
D23339,2019-09-13,S19375,东区,江苏,苏州市,X025,1153.0,102.0,117606.0
D28827,2019-09-12,S14106,东区,江苏,常州市,X007,1283.0,213.0,273279.0
D24486,2019-06-06,S10604,西区,四川,南充市,X076,520.0,115.0,59800.0
D22939,2019-01-16,S19759,西区,贵州,黔东南州,X102,921.0,160.0,147360.0
D26309,2019-08-01,S14115,东区,浙江,湖州市,X003,419.0,168.0,70392.0
D26954,2019-04-28,S13202,东区,上海市,上海市,X021,1480.0,59.0,87320.0
D33607,2019-07-03,S11231,东区,浙江,温州市,X044,976.0,174.0,169824.0
D29597,2019-08-04,S14503,东区,江苏,常州市,X001,1312.0,121.0,158752.0
D28321,2019-08-22,S20229,南区,广东,深圳市,X010,279.0,58.0,16182.0
D29263,2019-07-25,S15155,西区,贵州,黔南州,X080,1354.0,72.0,97488.0
D30258,2019-09-03,S20644,东区,江苏,苏州市,X059,1475.0,56.0,82600.0
D28824,2019-02-20,S12266,南区,广东,韶关市,X075,1034.0,126.0,130284.0
D33224,2019-08-10,S10550,东区,江苏,常州市,X005,368.0,185.0,68080.0
D22281,2019-07-10,S18020,东区,江苏,南京市,X064,638.0,150.0,95700.0
D25710,2019-02-22,S14313,北区,河南,漯河市,X065,931.0,140.0,130340.0
D25160,2019-08-25,S20906,东区,江苏,扬州市,X001,165.0,121.0,19965.0
D23842,2019-07-08,S18445,北区,河北,沧州市,X083,1208.0,208.0,251264.0
D23901,2019-06-24,S20896,北区,河南,开封市,X056,540.0,233.0,125820.0
D33302,2019-02-21,S12266,南区,广东,韶关市,X041,518.0,212.0,109816.0
D28945,2019-02-01,S17631,南区,湖南,常德市,X068,1531.0,225.0,344475.0
D28225,2019-08-04,S16650,西区,四川,达州市,X049,1045.0,226.0,236170.0
D27707,2019-02-06,S19583,南区,福建,泉州市,X017,1300.0,213.0,276900.0
D24367,2019-04-01,S20663,东区,江苏,镇江市,X008,701.0,119.0,83419.0
D32324,2019-07-28,S13244,东区,安徽,黄山市,X077,1085.0,247.0,267995.0
D27144,2019-05-13,S21255,西区,四川,内江市,X062,1204.0,239.0,287756.0
D24223,2019-05-09,S12848,西区,云南,昆明市,X024,606.0,235.0,142410.0
D25132,2019-01-16,S11812,北区,天津市,天津市,X049,1714.0,226.0,387364.0
D29773,2019-07-15,S17942,西区,四川,成都市,X026,1533.0,101.0,154833.0
D23981,2019-09-01,S21387,西区,四川,凉山彝族自治州,X050,348.0,143.0,49764.0
D30332,2019-06-04,S20797,北区,河北,廊坊市,X079,849.0,128.0,108672.0
D21596,2019-08-01,S22743,东区,浙江,温州市,X080,753.0,72.0,54216.0
D31690,2019-08-04,S22743,东区,浙江,温州市,X080,1940.0,72.0,139680.0
D32330,2019-05-31,S19916,北区,辽宁,盘锦市,X057,541.0,245.0,132545.0
D27036,2019-09-08,S15632,南区,湖南,长沙市,X046,896.0,241.0,215936.0
D31644,2019-06-05,S19748,东区,安徽,六安市,X061,622.0,203.0,126266.0
D27457,2019-07-02,S20750,南区,广东,惠州市,X055,694.0,222.0,154068.0
D21564,2019-02-25,S18190,南区,湖南,岳阳市,X034,223.0,182.0,40586.0
D28216,2019-08-16,S17553,东区,上海市,上海市,X046,651.0,241.0,156891.0
D23567,2019-07-20,S10983,东区,江苏,南京市,X027,1172.0,164.0,192208.0
D24861,2019-09-23,S13734,北区,山东,德州市,X005,788.0,185.0,145780.0
D32234,2019-06-08,S16365,南区,广东,湛江市,X079,620.0,128.0,79360.0
D33099,2019-07-24,S10419,南区,广东,佛山市,X025,413.0,102.0,42126.0
D22216,2019-04-18,S17329,南区,湖南,益阳市,X009,452.0,92.0,41584.0
D29533,2019-08-04,S15175,南区,江西,吉安市,X053,1047.0,104.0,108888.0
D21079,2019-08-04,S13061,东区,浙江,宁波市,X016,62.0,99.0,6138.0
D25022,2019-07-19,S12675,西区,重庆市,重庆市,X029,966.0,154.0,148764.0
D26502,2019-06-03,S15310,南区,福建,泉州市,X035,213.0,76.0,16188.0
D31234,2019-07-15,S16639,北区,河南,郑州市,X067,1111.0,212.0,235532.0
D32619,2019-01-27,S14059,西区,重庆市,重庆市,X088,1563.0,125.0,195375.0
D27357,2019-07-10,S14838,东区,上海市,上海市,X008,383.0,119.0,45577.0
D25920,2019-08-25,S17255,西区,四川,成都市,X031,1073.0,86.0,92278.0
D24578,2019-06-05,S22813,西区,四川,成都市,X069,1089.0,251.0,273339.0
D24661,2019-07-06,S10158,东区,江苏,徐州市,X071,1830.0,253.0,462990.0
D26139,2019-01-04,S15187,北区,北京市,北京市,X018,1693.0,212.0,358916.0
D24954,2019-09-24,S19709,北区,辽宁,丹东市,X020,1308.0,100.0,130800.0
D27715,2019-05-13,S18674,南区,广东,深圳市,X063,392.0,162.0,63504.0
D26168,2019-01-07,S16573,西区,陕西,宝鸡市,X078,1596.0,116.0,185136.0
D24721,2019-08-18,S20000,南区,福建,南平市,X036,853.0,99.0,84447.0
D30950,2019-08-09,S22553,东区,上海市,上海市,X010,503.0,58.0,29174.0
D25723,2019-06-02,S22391,东区,浙江,台州市,X071,1297.0,253.0,328141.0
D22311,2019-04-20,S23312,东区,江苏,徐州市,X034,1626.0,182.0,295932.0
D24192,2019-05-29,S15443,东区,江苏,苏州市,X017,885.0,213.0,188505.0
D25762,2019-07-01,S10554,东区,江苏,扬州市,X026,1449.0,101.0,146349.0
D26037,2019-06-30,S17903,东区,浙江,丽水市,X051,676.0,203.0,137228.0
D26450,2019-08-04,S15731,北区,吉林,吉林市,X005,649.0,185.0,120065.0
D26670,2019-09-05,S17750,东区,江苏,苏州市,X026,1575.0,101.0,159075.0
D21890,2019-06-23,S14741,北区,黑龙江,双鸭山市,X020,787.0,100.0,78700.0
D31890,2019-05-10,S22796,东区,浙江,台州市,X072,1331.0,62.0,82522.0
D28395,2019-07-30,S20101,北区,山东,淄博市,X032,2034.0,158.0,321372.0
D21552,2019-07-22,S19493,南区,广西,南宁市,X001,22.0,121.0,2662.0
D21965,2019-06-30,S19580,南区,福建,厦门市,X026,814.0,101.0,82214.0
D25041,2019-08-04,S14313,北区,河南,漯河市,X007,340.0,213.0,72420.0
D21253,2019-06-26,S21058,东区,安徽,淮南市,X049,1097.0,226.0,247922.0
D27576,2019-06-25,S19460,东区,上海市,上海市,X049,244.0,226.0,55144.0
D27738,2019-08-04,S22706,东区,江苏,南通市,X065,1322.0,140.0,185080.0
D24347,2019-09-03,S14741,北区,黑龙江,双鸭山市,X067,780.0,212.0,165360.0
D23113,2019-01-19,S11611,东区,江苏,泰州市,X069,150.0,251.0,37650.0
D32261,2019-01-20,S13244,东区,安徽,黄山市,X062,1659.0,239.0,396501.0
D22580,2019-08-23,S22814,东区,浙江,杭州市,X021,920.0,59.0,54280.0
D27626,2019-08-04,S15865,东区,湖北,孝感市,X089,882.0,104.0,91728.0
D24295,2019-07-05,S22126,东区,江苏,无锡市,X065,413.0,140.0,57820.0
D28904,2019-01-19,S12814,南区,广东,梅州市,X042,1488.0,159.0,236592.0
D32422,2019-01-15,S13440,东区,江苏,扬州市,X088,1467.0,125.0,183375.0
D33193,2019-09-13,S13795,西区,甘肃,天水市,X080,1525.0,72.0,109800.0
D32503,2019-08-09,S16149,东区,浙江,温州市,X035,472.0,76.0,35872.0
D28339,2019-09-29,S17072,东区,江苏,苏州市,X018,671.0,212.0,142252.0
D30243,2019-08-04,S15411,西区,重庆市,重庆市,X057,25.0,245.0,6125.0
D34386,2019-04-11,S10462,西区,新疆,新疆省直辖,X010,380.0,58.0,22040.0
D29894,2019-01-12,S13981,南区,江西,吉安市,X026,1240.0,101.0,125240.0
D32172,2019-05-05,S19657,北区,河北,邯郸市,X049,1627.0,226.0,367702.0
D28006,2019-05-08,S22793,南区,广东,深圳市,X039,1436.0,108.0,155088.0
D33338,2019-05-01,S15600,南区,广东,广州市,X014,1126.0,86.0,96836.0
D33017,2019-07-11,S11667,东区,安徽,宿州市,X048,827.0,61.0,50447.0
D24380,2019-09-18,S23119,南区,江西,南昌市,X022,304.0,158.0,48032.0
D21560,2019-01-16,S12110,南区,广东,东莞市,X003,468.0,168.0,78624.0
D23999,2019-04-17,S16130,东区,江苏,南通市,X092,962.0,67.0,64454.0
D26277,2019-06-08,S19117,南区,江西,南昌市,X070,943.0,242.0,228206.0
D23042,2019-05-06,S21521,东区,上海市,上海市,X011,1042.0,226.0,235492.0
D21091,2019-06-23,S22269,西区,四川,泸州市,X013,572.0,164.0,93808.0
D24275,2019-09-15,S13106,北区,山东,青岛市,X003,675.0,168.0,113400.0
D30920,2019-07-06,S17720,东区,湖北,黄冈市,X097,40.0,56.0,2240.0
D33991,2019-09-08,S20947,东区,上海市,上海市,X014,577.0,86.0,49622.0
D23003,2019-08-04,S16286,东区,江苏,南通市,X013,259.0,164.0,42476.0
D29557,2019-05-19,S18351,东区,江苏,南通市,X051,1430.0,203.0,290290.0
D30931,2019-06-07,S18179,西区,重庆市,重庆市,X067,2154.0,212.0,456648.0
D25244,2019-05-22,S15527,北区,河南,洛阳市,X068,350.0,225.0,78750.0
D29019,2019-05-10,S11080,北区,黑龙江,鸡西市,X047,137.0,192.0,26304.0
D22388,2019-08-17,S17729,东区,上海市,上海市,X062,806.0,239.0,192634.0
D31491,2019-07-09,S12110,南区,广东,东莞市,X009,1181.0,92.0,108652.0
D24183,2019-06-28,S18911,东区,浙江,台州市,X009,820.0,92.0,75440.0
D27073,2019-08-04,S17375,西区,云南,昆明市,X017,1523.0,213.0,324399.0
D25503,2019-09-14,S21411,东区,湖北,随州市,X021,1046.0,59.0,61714.0
D22642,2019-07-29,S13554,西区,重庆市,重庆市,X038,891.0,102.0,90882.0
D22302,2019-04-18,S10616,北区,山西,吕梁市,X004,670.0,211.0,141370.0
D29447,2019-01-26,S17656,东区,安徽,阜阳市,X064,668.0,150.0,100200.0
D30003,2019-05-29,S14137,东区,上海市,上海市,X034,142.0,182.0,25844.0
D25472,2019-02-15,S11205,南区,湖南,长沙市,X047,1341.0,192.0,257472.0
D24581,2019-07-05,S13157,西区,云南,德宏傣族景颇族自治州,X064,1222.0,150.0,183300.0
D26626,2019-06-21,S18911,东区,浙江,台州市,X055,1655.0,222.0,367410.0
D28038,2019-05-22,S10575,西区,云南,昆明市,X056,105.0,233.0,24465.0
D29528,2019-09-24,S15969,西区,陕西,西安市,X015,923.0,151.0,139373.0
D22473,2019-07-25,S14308,东区,安徽,池州市,X051,33.0,203.0,6699.0
D30778,2019-01-15,S11609,南区,江西,南昌市,X037,1441.0,195.0,280995.0
D25390,2019-09-03,S12621,西区,陕西,西安市,X072,785.0,62.0,48670.0
D31545,2019-06-16,S21335,南区,湖南,衡阳市,X042,838.0,159.0,133242.0
D28305,2019-08-15,S15089,西区,云南,普洱市,X021,1038.0,59.0,61242.0
D25718,2019-02-08,S12118,北区,辽宁,本溪市,X049,1266.0,226.0,286116.0
D32413,2019-05-31,S10596,北区,北京市,北京市,X025,740.0,102.0,75480.0
D28552,2019-09-04,S14213,南区,广东,广州市,X015,1169.0,151.0,176519.0
D26859,2019-08-04,S14543,北区,河北,沧州市,X019,532.0,210.0,111720.0
D26377,2019-08-19,S19570,东区,江苏,宿迁市,X003,1428.0,168.0,239904.0
D23954,2019-01-29,S22121,南区,广东,珠海市,X094,470.0,94.0,44180.0
D25459,2019-08-13,S11104,北区,辽宁,抚顺市,X052,712.0,102.0,72624.0
D25752,2019-08-04,S22253,东区,浙江,杭州市,X003,499.0,168.0,83832.0
D26292,2019-05-17,S12100,东区,浙江,台州市,X012,1288.0,252.0,324576.0
D24147,2019-06-22,S20189,东区,浙江,杭州市,X030,596.0,237.0,141252.0
D34094,2019-09-16,S10057,西区,甘肃,兰州市,X037,843.0,195.0,164385.0
D24024,2019-05-20,S23038,北区,山东,济南市,X048,370.0,61.0,22570.0
D32375,2019-05-06,S13234,东区,安徽,铜陵市,X047,988.0,192.0,189696.0
D23955,2019-05-14,S15417,东区,浙江,嘉兴市,X096,710.0,222.0,157620.0
D25827,2019-08-07,S12638,南区,福建,漳州市,X016,583.0,99.0,57717.0
D29829,2019-08-06,S20261,西区,陕西,西安市,X017,765.0,213.0,162945.0
D22197,2019-07-05,S14593,东区,江苏,泰州市,X017,285.0,213.0,60705.0
D27954,2019-04-28,S15200,北区,山东,威海市,X057,1699.0,245.0,416255.0
D21806,2019-07-12,S20837,南区,福建,泉州市,X016,1260.0,99.0,124740.0
D22252,2019-09-01,S14744,东区,浙江,温州市,X065,29.0,140.0,4060.0
D28044,2019-07-17,S17272,东区,江苏,扬州市,X017,1360.0,213.0,289680.0
D33107,2019-05-15,S20363,西区,重庆市,重庆市,X002,1928.0,141.0,271848.0
D27997,2019-08-04,S20141,南区,湖南,长沙市,X068,784.0,225.0,176400.0
D26251,2019-08-10,S17365,南区,湖南,湘潭市,X074,777.0,87.0,67599.0
D30275,2019-08-07,S15417,东区,浙江,嘉兴市,X017,252.0,213.0,53676.0
D32023,2019-06-27,S12256,东区,浙江,金华市,X067,504.0,212.0,106848.0
D31850,2019-09-10,S15439,南区,福建,三明市,X027,135.0,164.0,22140.0
D32745,2019-06-15,S16806,南区,江西,景德镇市,X029,2232.0,154.0,343728.0
D31449,2019-05-01,S12455,南区,广西,百色市,X089,730.0,104.0,75920.0
D31745,2019-07-12,S17720,东区,湖北,黄冈市,X088,164.0,125.0,20500.0
D30718,2019-06-17,S15310,南区,福建,泉州市,X069,1186.0,251.0,297686.0
D32394,2019-02-14,S11368,东区,浙江,杭州市,X049,570.0,226.0,128820.0
D25174,2019-05-08,S14444,北区,河北,廊坊市,X032,931.0,158.0,147098.0
D29056,2019-08-29,S12993,西区,重庆市,重庆市,X061,1003.0,203.0,203609.0
D28168,2019-05-06,S17565,西区,陕西,渭南市,X054,1058.0,83.0,87814.0
D26921,2019-05-14,S21168,东区,安徽,蚌埠市,X050,427.0,143.0,61061.0
D24414,2019-06-14,S17309,东区,安徽,合肥市,X072,767.0,62.0,47554.0
D32682,2019-07-26,S19316,西区,甘肃,武威市,X067,1134.0,212.0,240408.0
D30503,2019-08-14,S13886,东区,湖北,武汉市,X039,1557.0,108.0,168156.0
D26956,2019-04-29,S20747,东区,浙江,宁波市,X009,1043.0,92.0,95956.0
D31354,2019-01-03,S13861,东区,上海市,上海市,X001,604.0,121.0,73084.0
D31652,2019-06-09,S16650,西区,四川,达州市,X014,1686.0,86.0,144996.0
D33601,2019-09-24,S17229,北区,山西,大同市,X031,639.0,86.0,54954.0
D30596,2019-08-04,S13200,南区,广西,南宁市,X069,977.0,251.0,245227.0
D28573,2019-06-14,S19577,北区,山东,青岛市,X088,1530.0,125.0,191250.0
D27964,2019-07-31,S21531,东区,安徽,合肥市,X008,1531.0,119.0,182189.0
D28602,2019-02-11,S18606,南区,江西,上饶市,X080,635.0,72.0,45720.0
D23988,2019-05-29,S13067,东区,江苏,宿迁市,X054,404.0,83.0,33532.0
D29290,2019-04-14,S22631,东区,江苏,淮安市,X008,468.0,119.0,55692.0
D22495,2019-08-23,S23207,南区,海南,海口市,X029,1381.0,154.0,212674.0
D21674,2019-08-04,S23119,南区,江西,南昌市,X056,193.0,233.0,44969.0
